country_brazil,year,gdp_brazil,cpi_brazil,country_india,population_india,ipi_india
Brazil,2020,1760056587883.53,124.84718616635315,India,1396387127,95.06820833333335
Brazil,2019,1819683217790.43,120.9621621057269,India,1383112050,102.42934166666667
Brazil,2018,1797736845059.11,116.60916954538966,India,1369003306,103.15009166666665
Brazil,2017,1766233131755.03,112.48670038705426,India,1354195680,99.99999166666667
Brazil,2016,1743173232503.86,108.73914352329389,India,1338636340,98.69717500000002
Brazil,2015,1802212206904.68,100.0,India,1322866505,100.880725
Brazil,2014,1868463501755.79,91.71795907421739,India,1307246509,102.32904166666667
Brazil,2013,1859094488365.14,86.258616592774,India,1291132063,99.34623333333332
Brazil,2012,1804861597918.79,81.21950611187663,India,1274487215,97.38780833333333
Brazil,2011,1770840632932.71,77.05579679448151,India,1257621191,94.50347500000002
Brazil,2010,1703150236842.0,72.26027973317828,India,1240613620,91.62130000000002
Brazil,2009,1583909921216.67,68.7939409254539,India,1223640160,86.80916666666667
Brazil,2008,1585905180276.35,65.58797774926175,India,1206734806,97.94164999999998
Brazil,2007,1509032134017.69,62.063635904885054,India,1189691809,101.45614999999998
Brazil,2006,1422677453441.88,59.883127748014665,India,1172373788,98.92242500000002
Brazil,2005,1368459252346.2,57.47847652317424,India,1154638713,96.71440833333334
Brazil,2004,1325999012823.98,53.78377976014971,India,1136264583,93.57814166666667
Brazil,2003,1253781634079.45,50.45515949578344,India,1117415123,91.14219166666668
Brazil,2002,1239639467559.79,43.98308399439072,India,1098313039,89.97851666666666
Brazil,2001,1202909097080.86,40.55603257682549,India,1078970907,89.67666666666668
Brazil,2000,1186419100699.97,37.959468638048094,India,1059633675,92.495075
